"Classes","LogLikelihood","AIC","BIC","Entropy"
2,-1822.76633555359,3803.53267110719,4042.41923225404,0.814327716541096
3,-1765.98929503632,3769.97859007263,4129.82037205334,0.883615017512041
4,-1723.94410235337,3765.88820470674,4246.6852075213,0.916379809038019
5,-1676.33948935814,3750.67897871628,4352.43120236469,0.93161930750065
