"class","Q_Experiencecode","Q_Info_Governmentcode","Q_Info_WeatherForecastcode","Q_Info_Scientificcode","Q_Info_GeneralMediacode","Q_Info_SocialMediacode","Q_FloodFuturecode","Q_ClimateChangecode","Q_Threatcode"
"1",1.97619047619048,2.80952380952381,4.09523809523809,2.80952380952381,4.5,4.28571428571429,2.80952380952381,3.45238095238095,2.88095238095238
"2",1.6046511627907,1.27906976744186,1.46511627906977,1.13953488372093,1.93023255813953,1.41860465116279,2.11627906976744,3.02325581395349,2.44186046511628
"3",1.40298507462687,1.71641791044776,2.52238805970149,1.58208955223881,3.3134328358209,2.76119402985075,2.61194029850746,3.38805970149254,2.98507462686567
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
