<<<<<<< HEAD
"player_code","avg_answer","n_answers"
"t1p1",2.66666666666667,3
"t1p2",2.66666666666667,3
"t1p3",4,3
"t1p4",3,3
"t1p5",1,3
"t1p6",2,3
"t1p7",2,3
=======
"player_code","avg_answer","n_answers"
"t1p1",2.66666666666667,3
"t1p2",2.66666666666667,3
"t1p3",4,3
"t1p4",3,3
"t1p5",1,3
"t1p6",2,3
"t1p7",2,3
>>>>>>> ca769c527e0b91e58914c5a922abfb19a7b9f934
