id,groupround_id,timestamp,group_state,content
91,181,2024-09-24T11:00:20,SHOW_HOUSES_SELL,
94,181,2024-09-24T11:02:58,ALLOW_SELLING,
96,181,2024-09-24T11:03:12,SHOW_HOUSES_BUY,
97,181,2024-09-24T11:03:15,ALLOW_BUYING,
99,181,2024-09-24T11:03:24,BUYING_FINISHED,
100,181,2024-09-24T11:03:42,SHOW_TAXES,
102,181,2024-09-24T11:04:11,ALLOW_IMPROVEMENTS,
114,181,2024-09-24T11:10:28,SHOW_SURVEY,
118,181,2024-09-24T11:11:12,SURVEY_COMPLETED,
122,181,2024-09-24T11:11:51,ROLLED_DICE,"Fluvial=8
Pluvial=2"
127,181,2024-09-24T11:12:50,SHOW_SUMMARY,
131,186,2024-09-24T11:14:39,NEW_ROUND,Round=3
132,186,2024-09-24T11:14:47,ANNOUNCE_NEWS,
135,186,2024-09-24T11:16:18,SHOW_HOUSES_SELL,
152,186,2024-09-24T11:20:25,ALLOW_SELLING,
155,186,2024-09-24T11:22:43,SHOW_HOUSES_BUY,
156,186,2024-09-24T11:22:46,ALLOW_BUYING,
163,186,2024-09-24T11:24:30,BUYING_FINISHED,
165,186,2024-09-24T11:24:31,SHOW_TAXES,
166,186,2024-09-24T11:24:38,ALLOW_IMPROVEMENTS,
171,186,2024-09-24T11:25:51,SHOW_SURVEY,
179,186,2024-09-24T11:28:03,SURVEY_COMPLETED,
182,186,2024-09-24T11:28:45,ROLLED_DICE,"Fluvial=5
Pluvial=6"
205,186,2024-09-24T11:35:36,SHOW_SUMMARY,
55,178,2024-09-24T10:35:26,NEW_ROUND,Round=1
64,178,2024-09-24T10:38:54,ANNOUNCE_NEWS,
66,178,2024-09-24T10:40:59,SHOW_HOUSES_BUY,
73,178,2024-09-24T10:49:47,ALLOW_BUYING,
79,178,2024-09-24T10:51:50,BUYING_FINISHED,
85,178,2024-09-24T10:56:39,SHOW_TAXES,
86,178,2024-09-24T10:56:53,ALLOW_IMPROVEMENTS,
104,178,2024-09-24T11:05:58,SHOW_SURVEY,
115,178,2024-09-24T11:10:39,ROLLED_DICE,"Fluvial=3
Pluvial=2"
117,178,2024-09-24T11:10:52,SHOW_SUMMARY,
126,185,2024-09-24T11:12:47,NEW_ROUND,Round=2
128,185,2024-09-24T11:12:50,ANNOUNCE_NEWS,
130,185,2024-09-24T11:14:39,SHOW_HOUSES_SELL,
141,185,2024-09-24T11:18:02,ALLOW_SELLING,
147,185,2024-09-24T11:19:24,SHOW_HOUSES_BUY,
148,185,2024-09-24T11:19:26,ALLOW_BUYING,
149,185,2024-09-24T11:19:57,BUYING_FINISHED,
150,185,2024-09-24T11:19:59,SHOW_TAXES,
151,185,2024-09-24T11:20:04,ALLOW_IMPROVEMENTS,
180,185,2024-09-24T11:28:11,SHOW_SURVEY,
187,185,2024-09-24T11:30:19,ROLLED_DICE,"Fluvial=6
Pluvial=1"
188,185,2024-09-24T11:30:23,SHOW_SUMMARY,
191,189,2024-09-24T11:31:06,NEW_ROUND,Round=3
192,189,2024-09-24T11:31:57,ANNOUNCE_NEWS,
195,189,2024-09-24T11:33:06,SHOW_HOUSES_SELL,
199,189,2024-09-24T11:33:46,ALLOW_SELLING,
209,189,2024-09-24T11:37:37,ALLOW_BUYING,
211,189,2024-09-24T11:39:02,BUYING_FINISHED,
215,189,2024-09-24T11:41:55,SHOW_TAXES,
216,189,2024-09-24T11:41:59,ALLOW_IMPROVEMENTS,
220,189,2024-09-24T11:45:38,SHOW_SURVEY,
222,189,2024-09-24T11:48:45,SURVEY_COMPLETED,
223,189,2024-09-24T11:49:18,ROLLED_DICE,"Fluvial=6
Pluvial=3"
224,189,2024-09-24T11:49:23,SHOW_SUMMARY,
58,180,2024-09-24T10:35:54,NEW_ROUND,Round=1
61,180,2024-09-24T10:37:29,ANNOUNCE_NEWS,
63,180,2024-09-24T10:38:30,SHOW_HOUSES_BUY,
84,180,2024-09-24T10:56:20,ALLOW_BUYING,
90,180,2024-09-24T10:59:43,BUYING_FINISHED,
92,180,2024-09-24T11:00:27,SHOW_TAXES,
98,180,2024-09-24T11:03:16,ALLOW_IMPROVEMENTS,
110,180,2024-09-24T11:08:33,SHOW_SURVEY,
112,180,2024-09-24T11:09:52,SURVEY_COMPLETED,
116,180,2024-09-24T11:10:47,ROLLED_DICE,"Fluvial=7
Pluvial=3"
120,180,2024-09-24T11:11:29,SHOW_SUMMARY,
123,184,2024-09-24T11:12:29,NEW_ROUND,Round=2
125,184,2024-09-24T11:12:39,ANNOUNCE_NEWS,
142,184,2024-09-24T11:19,SHOW_HOUSES_SELL,
158,184,2024-09-24T11:23:09,ALLOW_SELLING,
162,184,2024-09-24T11:24:30,SHOW_HOUSES_BUY,
173,184,2024-09-24T11:26:08,ALLOW_BUYING,
177,184,2024-09-24T11:27:05,BUYING_FINISHED,
178,184,2024-09-24T11:27:10,SHOW_TAXES,
181,184,2024-09-24T11:28:39,ALLOW_IMPROVEMENTS,
201,184,2024-09-24T11:34:36,SHOW_SURVEY,
203,184,2024-09-24T11:35:20,SURVEY_COMPLETED,
207,184,2024-09-24T11:36:21,ROLLED_DICE,"Fluvial=10
Pluvial=7"
208,184,2024-09-24T11:36:46,SHOW_SUMMARY,
217,190,2024-09-24T11:42:34,NEW_ROUND,Round=3
218,190,2024-09-24T11:42:46,ANNOUNCE_NEWS,
219,190,2024-09-24T11:45:11,SHOW_HOUSES_SELL,
221,190,2024-09-24T11:48:30,ALLOW_SELLING,
225,190,2024-09-24T11:50:10,SHOW_HOUSES_BUY,
