"Classes","LogLikelihood","AIC","BIC","Entropy"
2,-1822.76633555356,3803.53267110713,4042.41923225398,0.814326457490635
3,-1762.80020480791,3763.60040961582,4123.44219159653,0.901287446576755
4,-1768.55208417855,3855.1041683571,4335.90117117166,0.907718798977043
5,-1694.36017202608,3786.72034405217,4388.47256770058,0.925828278562589
