"class","Q_Experiencecode","Q_Info_Governmentcode","Q_Info_WeatherForecastcode","Q_Info_Scientificcode","Q_Info_GeneralMediacode","Q_Info_SocialMediacode","Q_FloodFuturecode","Q_ClimateChangecode","Q_Threatcode"
"1",1.6027397260274,1.50684931506849,1.98630136986301,1.41095890410959,2.78082191780822,2.31506849315068,2.87671232876712,3.65753424657534,3.10958904109589
"2",1.38235294117647,1.55882352941176,2.08823529411765,1.35294117647059,2.55882352941176,2.08823529411765,1.29411764705882,2.20588235294118,1.91176470588235
"3",1.82222222222222,2.77777777777778,4.17777777777778,2.75555555555556,4.53333333333333,4.13333333333333,2.88888888888889,3.55555555555556,2.97777777777778
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
