"Classes","LogLikelihood","AIC","BIC","Entropy"
2,-3179.49843863774,7448.99687727548,9097.0117611367,0.999999996811992
3,-3042.91248814779,7721.82497629557,10195.3592423478,0.99999999589921
4,-2925.08008669894,8032.16017339787,11331.2138216412,0.999999995089242
5,-2893.42356937909,8514.84713875818,12639.4201691925,0.999999994300769
